Nombre,Precio_Venta,Stock,SKU,Codigo_Barras
PEGA PESTANA,2.0,0,PP-0210,7590000000210
GORRO PARA CABELLO,1.0,0,GPC-0211,7590000000211
LAPIZ LABIAL,2.5,0,LL-0212,7590000000212
BASE PARA ROSTRO,2.0,0,BPR-0213,7590000000213
RUBOR,2.0,0,R-0214,7590000000214
COMPACTO MONREY,2.0,0,CM-0215,7590000000215
PROTECTOR SOLAR,3.0,0,PS-0216,7590000000216
ACEITE CAPILAR,3.0,0,AC-0217,7590000000217
CREMA PONS ACLARANTE SOBRE,1.0,0,CPAS-0218,7590000000218
PRAIME,0.5,0,P-0219,7590000000219
ESMALTE SEMIPERMANENTE,3.0,0,ES-0220,7590000000220
LENTES DE LECTURA,2.5,0,LDL-0221,7590000000221
LENTES DE SOL,3.0,0,LDS-0222,7590000000222
SERUM,3.0,0,S-0223,7590000000223
CORTA UNAS,1.5,0,CU-0224,7590000000224
LAPIZ DE CEJAS NEGRO Y MARRON,0.5,0,LDCNYM-0225,7590000000225
LIMAS DE UNAS,0.5,0,LDU-0226,7590000000226
PEINE NEGRO FINO,0.5,0,PNF-0227,7590000000227
ACETONA,2.0,0,A-0228,7590000000228
PEINAR,3.0,0,P-0229,7590000000229
PEINAR DE NINA,2.5,0,PDN-0230,7590000000230
PEINE PLASTICO DE COLORES,0.5,0,PPDC-0231,7590000000231
CORTA CUTICULAS,3.5,0,CC-0232,7590000000232
ESMALTE NORMAL,0.8,0,EN-0233,7590000000233
CREMA NOVEX DE SOBRE,1.0,0,CNDS-0234,7590000000234
HILOS DE COSER,0.3,0,HDC-0235,7590000000235
HISOPOS,0.5,0,H-0236,7590000000236
GUANTES DE NITRILO,0.16,0,GDN-0237,7590000000237
DESODORANTE DE SOBRE,0.45,0,DDS-0238,7590000000238
MOPAS DESMAQUILLANTES,2.9,0,MD-0239,7590000000239
COHALA,10.0,0,C-0240,7590000000240
BOLSO DE CABALLERO PEQUEÑO,6.0,0,BDCP-0241,7590000000241
BOLSO DE DAMA PEQUEÑO,6.0,0,BDDP-0242,7590000000242
PLATANITOS,0.9,0,P-0243,7590000000243
CHISKESITO,0.8,0,C-0244,7590000000244
CHISTOZO,0.55,0,C-0245,7590000000245
PALITOS,0.55,0,P-0246,7590000000246
MASMELOS DE COLORES,0.8,0,MDC-0247,7590000000247
DANDY COLORES,0.8,0,DC-0248,7590000000248
TRIDENT,0.9,0,T-0249,7590000000249
MAXCOCO,0.8,0,M-0250,7590000000250
WAFER LARGA,0.4,0,WL-0251,7590000000251
RULITAS,0.2,0,R-0252,7590000000252
CHUPETAS,0.15,0,C-0253,7590000000253
FREEGLLESS,0.5,0,F-0254,7590000000254
GALLETA BABO,0.8,0,GB-0255,7590000000255
MILLOWS,0.8,0,M-0256,7590000000256
MARRSHMALLOWS,1.2,0,M-0257,7590000000257
GALLETA BRINKI,0.4,0,GB-0258,7590000000258
GALLETA FESTIVAL,0.85,0,GF-0259,7590000000259
GALLETA OREO,0.5,0,GO-0260,7590000000260
MANI MOTO,0.35,0,MM-0261,7590000000261
CHICLE SPLOS,0.09,0,CS-0262,7590000000262
TRULULU CHOCO'COLORES,0.55,0,TC-0263,7590000000263
MASMELO PEQUEÑO,0.3,0,MP-0264,7590000000264
BIANCHI BARRA MANI,0.5,0,BBM-0265,7590000000265
TURRON BLANCO,1.0,0,TB-0266,7590000000266
NUCITA,0.3,0,N-0267,7590000000267
TRULULU 80G,0.9,0,T8-0268,7590000000268
SET DE CUCHILLOS,3.5,0,SDC-0269,7590000000269
BIANCHI SNACK,1.0,0,BS-0270,7590000000270
PELOTAS DE COLORES,2.5,0,PDC-0271,7590000000271
JABON ARIEL,1.1,0,JA-0272,7590000000272
JABON BRISOL,1.1,0,JB-0273,7590000000273
JABON LAVAPLATOS,1.1,0,JL-0274,7590000000274
DESINFECTANTE,0.7,0,D-0275,7590000000275
CLORO JABONOSO,0.9,0,CJ-0276,7590000000276
CERA BLANCA,0.8,0,CB-0277,7590000000277
LAVAPLATOS,1.3,0,L-0278,7590000000278
DESENGRASANTE,0.9,0,D-0279,7590000000279
